Target_Float,Target_Fix,X_Final,Y_Final,Z_Final,T_Final,AR_Fix,AR_Float

-0.95,-1946,811,2416,637,2415,-637,-1.244140625
-0.9,-1843,1118,2287,571,2288,-571,-1.115234375
-0.85,-1741,1348,2162,519,2161,-519,-1.013671875
-0.8,-1638,1534,2033,473,2033,-473,-0.923828125
-0.75,-1536,1687,1905,433,1906,-433,-0.845703125
-0.7,-1434,1821,1778,397,1779,-397,-0.775390625
-0.65,-1331,1938,1648,361,1651,-361,-0.705078125
-0.6,-1229,2041,1522,329,1523,-329,-0.642578125
-0.55,-1126,2128,1396,297,1396,-297,-0.580078125
-0.5,-1024,2209,1269,267,1270,-267,-0.521484375
-0.45,-922,2277,1142,237,1143,-237,-0.462890625
-0.4,-819,2337,1013,209,1014,-209,-0.408203125
-0.35,-717,2387,888,181,888,-181,-0.353515625
-0.3,-614,2431,761,157,760,-157,-0.306640625
-0.25,-512,2467,634,129,634,-129,-0.251953125
-0.2,-410,2498,505,103,506,-103,-0.201171875
-0.15,-307,2516,377,77,378,-77,-0.150390625
-0.0999999999999999,-205,2533,251,51,252,-51,-0.099609375
-0.0499999999999999,-102,2543,123,25,124,-25,-0.048828125
0,0,2547,1,1,0,1,0.001953125
0.0499999999999999,102,2543,123,25,124,25,0.048828125
0.0999999999999999,205,2533,251,51,252,51,0.099609375
0.15,307,2516,377,77,378,77,0.150390625
0.2,410,2498,505,103,506,103,0.201171875
0.25,512,2467,634,129,634,129,0.251953125
0.3,614,2431,761,157,760,157,0.306640625
0.35,717,2387,888,181,888,181,0.353515625
0.4,819,2337,1013,209,1014,209,0.408203125
0.45,922,2277,1142,237,1143,237,0.462890625
0.5,1024,2209,1269,267,1270,267,0.521484375
0.55,1126,2128,1396,297,1396,297,0.580078125
0.6,1229,2041,1522,329,1523,329,0.642578125
0.65,1331,1938,1648,361,1651,361,0.705078125
0.7,1434,1821,1778,397,1779,397,0.775390625
0.75,1536,1687,1905,433,1906,433,0.845703125
0.8,1638,1534,2033,473,2033,473,0.923828125
0.85,1741,1348,2162,519,2161,519,1.013671875
0.9,1843,1118,2287,571,2288,571,1.115234375
0.95,1946,811,2416,637,2415,637,1.244140625
