Target,X_Final,Y_Final,Z_Final,T_Final,Ar

-0.95,0.388448335438186,1.18114027346654,1.25306299208629,1.18120742063181,-1.25306299208629
-0.9,0.541503503704856,1.11926690757151,1.12019093271831,1.11903860901961,-1.12019093271831
-0.85,0.655267423659894,1.056697240651,1.01572189995904,1.05686979740741,-1.01572189995904
-0.8,0.746316411909241,0.994482914998662,0.927002964921696,0.994700985795211,-0.927002964921696
-0.75,0.822431117964755,0.932518906571102,0.848045946647764,0.93253217418301,-0.848045946647764
-0.7,0.887888054106242,0.8704247573942,0.775466641298994,0.87036336257081,-0.775466641298994
-0.65,0.945253242177259,0.807762813617154,0.707127605026381,0.808194550958609,-0.707127605026381
-0.6,0.994482914998662,0.746316411909241,0.643793361873201,0.746025739346408,-0.643793361873201
-0.55,1.03847465677412,0.683779819932693,0.582289985034466,0.683856927734207,-0.582289985034466
-0.5,1.07665351005475,0.621933818180117,0.523826969594903,0.621688116122007,-0.523826969594903
-0.45,1.11012345622937,0.560009256029467,0.467206638619182,0.559519304509806,-0.467206638619182
-0.4,1.13949076749931,0.497539190107824,0.411682437922232,0.497350492897605,-0.411682437922232
-0.35,1.16454913255504,0.435671634117522,0.357991793748019,0.435181681285405,-0.357991793748019
-0.3,1.18597632678158,0.373422826328256,0.305038305396993,0.373012869673204,-0.305038305396993
-0.25,1.20400452941522,0.310415122146052,0.252323981046564,0.310844058061003,-0.252323981046564
-0.2,1.21820823912502,0.248903879112455,0.201545596652451,0.248675246448803,-0.201545596652451
-0.15,1.22924554579669,0.186922023978732,0.150906348817964,0.186506434836602,-0.150906348817964
-0.0999999999999999,1.2371465033643,0.124310032269393,0.100145119044672,0.124337623224401,-0.100145119044672
-0.0499999999999999,1.24179305558402,0.0627252900560516,0.0504689766933756,0.0621688116122006,-0.0504689766933756
0,1.24337617914447,-0.000363380528195346,-0.000292253079916389,0,-0.000292253079916389
0.0499999999999999,1.24179305558402,0.0627252900560516,0.0504689766933756,0.0621688116122006,0.0504689766933756
0.0999999999999999,1.2371465033643,0.124310032269393,0.100145119044672,0.124337623224401,0.100145119044672
0.15,1.22924554579669,0.186922023978732,0.150906348817964,0.186506434836602,0.150906348817964
0.2,1.21820823912502,0.248903879112455,0.201545596652451,0.248675246448803,0.201545596652451
0.25,1.20400452941522,0.310415122146052,0.252323981046564,0.310844058061003,0.252323981046564
0.3,1.18597632678158,0.373422826328256,0.305038305396993,0.373012869673204,0.305038305396993
0.35,1.16454913255504,0.435671634117522,0.357991793748019,0.435181681285405,0.357991793748019
0.4,1.13949076749931,0.497539190107824,0.411682437922232,0.497350492897605,0.411682437922232
0.45,1.11012345622937,0.560009256029467,0.467206638619182,0.559519304509806,0.467206638619182
0.5,1.07665351005475,0.621933818180117,0.523826969594903,0.621688116122007,0.523826969594903
0.55,1.03847465677412,0.683779819932693,0.582289985034466,0.683856927734207,0.582289985034466
0.6,0.994482914998662,0.746316411909241,0.643793361873201,0.746025739346408,0.643793361873201
0.65,0.945253242177259,0.807762813617154,0.707127605026381,0.808194550958609,0.707127605026381
0.7,0.887888054106242,0.8704247573942,0.775466641298994,0.87036336257081,0.775466641298994
0.75,0.822431117964755,0.932518906571102,0.848045946647764,0.93253217418301,0.848045946647764
0.8,0.746316411909241,0.994482914998662,0.927002964921696,0.994700985795211,0.927002964921696
0.85,0.655267423659894,1.056697240651,1.01572189995904,1.05686979740741,1.01572189995904
0.9,0.541503503704856,1.11926690757151,1.12019093271831,1.11903860901961,1.12019093271831
0.95,0.388448335438186,1.18114027346654,1.25306299208629,1.18120742063181,1.25306299208629
